No;Especie;Luz;Microbio;Cosecha;Tiempo;Evento;NSC;Lignina;AMF_Imp;PHN_Imp;NSC_Imp;LIG_Imp
743;Acsa;Baja;Pequeño;3;21;0;NA;10.04;1.5;0.05;8.12;6.51
749;Acsa;Baja;Pequeño;3;21;0;NA;9.19;1.78;0.08;8.68;8.97
764;Acru;Baja;Pequeño;NA;18;1;NA;NA;1.61;-0.08;6.93;6.06
774;Acru;Baja;Pequeño;NA;42;1;NA;NA;4.44;0.23;12.01;13.32
781;Acru;Baja;Pequeño;3;21;0;NA;10.75;0;-0.19;6.4;5.83
800;Acru;Baja;Pequeño;3;21;0;NA;11.15;1.5;0.05;8.12;6.51
815;Acru;Baja;Pequeño;6;42;0;NA;9.7;0;-0.11;6.65;6.64
822;Acne;Baja;Pequeño;3;21;0;NA;6.86;1.62;0.08;8.49;11.11
824;Acru;Baja;Pequeño;9;63;1;NA;10.16;1.5;0.05;8.12;6.51
826;Acsa;Baja;Pequeño;9;63;0;NA;10.4;0;-0.13;5.66;9.85
833;Acsa;Baja;Pequeño;NA;63;1;NA;NA;0;0.01;7.42;6.09
839;Acne;Baja;Pequeño;NA;40;1;NA;NA;0;0.12;9.26;11.41
843;Acne;Baja;Pequeño;6;42;0;NA;5.11;0;0.12;9.23;11.01
845;Acne;Baja;Pequeño;NA;37;1;NA;NA;-0.01;-0.07;6.86;5.55
848;Acsa;Baja;Pequeño;NA;63;1;NA;NA;0.57;0.14;10.04;12.13
862;Acru;Baja;Pequeño;6;42;0;NA;8.5;0;-0.16;6.44;4.29
868;Acru;Baja;Pequeño;NA;36;1;NA;NA;0.51;0.12;9.67;11.96
871;Acsa;Baja;Pequeño;6;42;0;NA;12.14;0;0.14;10.3;13.44
873;Acne;Baja;Pequeño;9;63;0;NA;6.05;1.61;-0.08;6.93;6.06
886;Acsa;Baja;Pequeño;6;42;0;NA;4.09;0.82;0.1;9.12;4.55
899;Acne;Baja;Pequeño;3;21;0;NA;5.11;0.52;0.15;10.08;11.91
920;Acru;Baja;Pequeño;NA;48;1;NA;NA;23.6;0.24;13.85;8.06
921;Acne;Baja;Pequeño;NA;34;1;NA;NA;9.68;0.27;12.8;13.24
932;Acru;Baja;Pequeño;9;63;0;NA;8.51;0;0.01;8.46;11.52
936;Acsa;Baja;Pequeño;6;42;0;NA;6.28;0.57;0.14;10.04;12.13
940;Acne;Baja;Pequeño;6;42;0;NA;7.75;0;0.1;9.65;12.76
944;Acne;Baja;Pequeño;NA;63;1;NA;NA;0;-0.09;6.54;6.75
952;Acsa;Baja;Pequeño;9;63;0;NA;9.31;1.61;-0.08;6.93;6.06
957;Acsa;Baja;Pequeño;NA;63;1;NA;NA;0.91;-0.16;5.86;7.62
962;Acru;Baja;Pequeño;9;63;1;2.75;NA;1.61;-0.08;6.93;6.06
972;Acru;Baja;Pequeño;3;21;0;NA;10.65;0.57;0.14;10.04;12.13
985;Acru;Baja;Pequeño;9;63;0;NA;6;0;-0.27;6.48;10.92
991;Acne;Baja;Pequeño;9;63;0;NA;9.95;0;-0.32;5.13;9.79
995;Acne;Baja;Pequeño;3;21;0;NA;6.99;0;-0.18;5.23;8.53
998;Acru;Baja;Pequeño;NA;24;1;NA;NA;0;0.2;9.99;11.49
1013;Acru;Baja;Pequeño;3;21;0;NA;9.39;0.57;0.14;10.04;12.13
1015;Acru;Baja;Pequeño;NA;24;1;NA;NA;1.61;-0.08;6.93;6.06
1024;Acne;Baja;Pequeño;NA;63;1;NA;NA;0;-0.28;6.67;6.56
1026;Acsa;Baja;Pequeño;9;63;0;NA;10.36;21.79;0.24;13.49;7.82
1044;Acne;Baja;Pequeño;6;42;0;NA;6.81;0.82;0.02;7.04;10.21
1047;Acsa;Baja;Pequeño;NA;29;1;NA;NA;3.52;0.01;7.9;7.11
1053;Acsa;Baja;Pequeño;NA;63;1;NA;NA;0.57;0.14;10.04;12.13
1065;Acru;Baja;Pequeño;6;42;0;NA;8.69;0;-0.08;5.8;9.85
1068;Acsa;Baja;Pequeño;3;21;0;NA;16.39;0.33;-0.18;6.2;6.44
1077;Acsa;Baja;Pequeño;6;42;0;NA;10.16;1.49;0.15;10.1;5.37
1081;Acne;Baja;Pequeño;9;63;0;NA;5.99;13.99;0.22;12.3;7.37
1083;Acsa;Baja;Pequeño;3;21;0;NA;13.14;1.5;0.05;8.12;6.51
1094;Acru;Baja;Pequeño;9;63;1;NA;8.87;1.61;-0.08;6.93;6.06
1099;Acru;Baja;Pequeño;NA;51;1;NA;NA;1.86;0.09;8.06;10.5
1109;Acru;Baja;Pequeño;9;63;1;4.86;NA;0.36;-0.18;4.49;8.62
1124;Acne;Baja;Pequeño;NA;25;1;NA;NA;1.47;-0.11;6.11;7.78
1129;Acne;Baja;Pequeño;3;21;0;NA;5.72;1.61;0.06;8.23;6.61
1130;Acru;Baja;Pequeño;NA;39;1;NA;NA;0.57;0.14;10.04;12.13
1143;Acne;Baja;Pequeño;NA;22;1;NA;NA;0;-0.12;6.66;6.53
1147;Acsa;Baja;Pequeño;9;63;0;NA;14.4;0.65;0.19;10.46;12.31
1164;Acru;Baja;Pequeño;NA;27;1;NA;NA;1.61;-0.08;6.93;6.06
1171;Acru;Baja;Pequeño;NA;21;1;NA;NA;0;0.16;10.34;13.24
1177;Acsa;Baja;Pequeño;NA;35;1;NA;NA;1.61;-0.08;6.93;6.06
1197;Acsa;Baja;Pequeño;NA;63;1;NA;NA;1.61;-0.08;6.93;6.06
1199;Acsa;Baja;Pequeño;NA;35;1;NA;NA;0.57;0.14;10.04;12.13
1224;Acne;Alta;Pequeño;6;42;0;NA;5.45;1;0.03;8.02;9.22
1228;Acru;Alta;Pequeño;3;21;0;NA;13.44;0;-0.13;8.08;12.75
1234;Acsa;Alta;Pequeño;3;21;0;NA;9.44;1.17;0.05;8.45;11.54
1235;Acsa;Alta;Pequeño;3;21;0;NA;11.28;13.95;0.37;13.75;8.67
1237;Acsa;Alta;Pequeño;6;42;0;NA;11.28;0;0.5;14.36;15.7
1257;Acne;Alta;Pequeño;9;63;0;NA;5.73;0;0.12;8.96;8.34
1281;Acne;Alta;Pequeño;NA;30;1;NA;NA;0;0.15;9.8;11.1
1292;Acne;Alta;Pequeño;NA;63;1;NA;NA;1.42;0.12;9.83;7.75
1299;Acru;Alta;Pequeño;NA;29;1;NA;NA;0;0.27;11.12;9.86
1300;Acne;Alta;Pequeño;3;21;0;NA;5.1;1.2;0.14;10.1;5.72
1305;Acru;Alta;Pequeño;3;21;0;NA;11.08;0.06;0.26;10.36;11.71
1306;Acru;Alta;Pequeño;3;21;0;NA;8.28;0;0.11;9.35;5.29
1310;Acru;Alta;Pequeño;6;42;0;NA;9.49;10.81;0.29;12.31;8.54
1311;Acne;Alta;Pequeño;6;42;0;NA;7.2;5.78;0.39;13.17;12.91
1316;Acru;Alta;Pequeño;9;63;0;NA;12.32;2.8;0.25;11.29;13.07
1322;Acru;Alta;Pequeño;6;42;0;NA;11.51;0.06;0.26;10.36;11.71
1325;Acne;Alta;Pequeño;9;63;0;NA;7.58;1.75;0.22;11.11;8.26
1330;Acne;Alta;Pequeño;NA;33;1;NA;NA;0.06;0.26;10.36;11.71
1335;Acru;Alta;Pequeño;9;63;0;NA;10.11;0;0.02;6.63;8.49
1344;Acru;Alta;Pequeño;6;42;0;NA;7.3;20.08;0.31;12.45;7.29
1352;Acru;Alta;Pequeño;NA;63;1;NA;NA;0;0.12;8.9;10.51
1360;Acsa;Alta;Pequeño;NA;63;1;NA;NA;0;0.13;9.35;5.98
1365;Acru;Alta;Pequeño;NA;63;1;NA;NA;1.42;0.12;9.83;7.75
1376;Acne;Alta;Pequeño;NA;36;1;NA;NA;0;0.08;7.26;8.7
1391;Acsa;Alta;Pequeño;6;42;0;NA;9.66;0;-0.01;7.34;6.46
1393;Acsa;Alta;Pequeño;9;63;0;NA;10.34;2.47;0.23;10.99;12.87
1423;Acne;Alta;Pequeño;NA;45;1;NA;NA;1.42;0.12;9.83;7.75
1434;Acne;Alta;Pequeño;NA;63;1;NA;NA;21.97;0.31;12.87;7.17
1439;Acsa;Alta;Pequeño;NA;63;1;NA;NA;0;0.09;8.27;6.78
1446;Acsa;Alta;Pequeño;NA;46;1;NA;NA;18.41;0.34;12.96;7.06
1447;Acne;Alta;Pequeño;3;21;0;NA;5.22;18.41;0.34;12.96;7.06
1450;Acsa;Alta;Pequeño;3;21;0;NA;8.82;24.5;0.38;13.66;7.69
1458;Acru;Alta;Pequeño;NA;23;1;NA;NA;1.42;0.12;9.83;7.75
1461;Acne;Alta;Pequeño;3;21;0;NA;6.24;12.47;0.3;12.64;8.48
1465;Acne;Alta;Pequeño;6;42;0;NA;4.94;0;-0.05;7.16;11.36
1467;Acne;Alta;Pequeño;9;63;0;NA;5.41;0.2;-0.03;6.57;7.52
1476;Acsa;Alta;Pequeño;6;42;0;NA;13.15;18.41;0.34;12.96;7.06
1478;Acru;Alta;Pequeño;3;21;0;NA;10.1;0;0.09;7.74;8.6
1485;Acne;Alta;Pequeño;NA;63;1;NA;NA;24.39;0.41;15.23;7.52
1508;Acru;Alta;Pequeño;9;63;0;NA;6.78;12.8;0.3;12.97;8.72
1519;Acru;Alta;Pequeño;6;42;0;NA;7.05;0;0.05;7.8;10.29
1525;Acsa;Alta;Pequeño;9;63;0;NA;9.25;24.65;0.43;15.67;7.65
1551;Acru;Alta;Pequeño;9;63;0;NA;8.14;0;0.23;10.49;6.4
1568;Acne;Alta;Pequeño;NA;63;1;NA;NA;1.42;0.12;9.83;7.75
1583;Acne;Alta;Pequeño;6;42;0;NA;7.46;5.5;0.35;12.79;13.76
1591;Acne;Alta;Pequeño;3;21;0;NA;5.67;0;0;6.53;7.96
1592;Acne;Alta;Pequeño;6;42;0;NA;3.85;0;0.07;8.01;6.97
1608;Acne;Alta;Pequeño;9;63;0;NA;5.76;14.77;0.31;12.4;7.28
1613;Acru;Alta;Pequeño;NA;20;1;NA;NA;1.31;0.3;11.94;12.9
1619;Acne;Alta;Pequeño;NA;63;1;NA;NA;12.73;0.45;14.98;13.81
1627;Acne;Alta;Pequeño;3;21;0;NA;6.06;0.06;0.26;10.36;11.71
1631;Acru;Alta;Pequeño;NA;20;1;NA;NA;18.41;0.34;12.96;7.06
1647;Acne;Alta;Pequeño;9;63;0;NA;6.73;0.44;0.22;10.41;12.31
1652;Acsa;Alta;Pequeño;9;63;0;NA;10.88;0;-0.17;8.54;13.97
1661;Acru;Alta;Pequeño;NA;32;1;NA;NA;0;0.09;8.25;5.78
1665;Acne;Alta;Pequeño;6;42;0;NA;5.88;0;0.1;9.05;6.02
1670;Acru;Alta;Pequeño;NA;63;1;NA;NA;0;0.28;10.51;12.29
1675;Acru;Alta;Pequeño;6;42;0;NA;10.47;0.06;0.26;10.36;11.71
1681;Acsa;Alta;Pequeño;NA;63;1;NA;NA;0;0.16;9.03;7.51
1684;Acru;Alta;Pequeño;9;63;0;NA;7.6;0.06;0.26;10.36;11.71
1686;Acru;Alta;Pequeño;NA;17;1;NA;NA;0.95;0.05;8.77;12.28
1687;Acsa;Alta;Pequeño;6;42;0;NA;11.29;0;0.32;11.13;5
1696;Acsa;Alta;Pequeño;9;63;0;NA;13.88;0;0.1;9.09;5.08
1698;Acsa;Alta;Pequeño;NA;28;1;NA;NA;1.42;0.12;9.83;7.75
1709;Acsa;Alta;Pequeño;NA;63;1;NA;NA;0;0.44;13.25;13.89
1718;Acsa;Alta;Pequeño;3;21;0;NA;11.33;0.06;0.26;10.36;11.71
1737;Acru;Alta;Pequeño;3;21;0;NA;7.17;1.42;0.12;9.83;7.75
1748;Acru;Alta;Pequeño;3;21;0;NA;11.78;0.06;0.1;9.16;11.34
1756;Acsa;Alta;Pequeño;NA;63;1;NA;NA;0;0.13;7.87;8.89
1774;Acne;Alta;Pequeño;NA;51;1;NA;NA;11.39;0.45;14.38;13.67
1775;Acru;Alta;Pequeño;NA;23;1;NA;NA;0;0.22;11.42;16.7
1786;Acsa;Alta;Pequeño;3;21;0;NA;10.65;0.31;0.08;8.77;8.15
1819;Acru;Alta;Pequeño;6;42;0;NA;5.81;0;0.18;8.57;8.78
1837;Acne;Alta;Pequeño;9;63;0;NA;7.62;18.41;0.34;12.96;7.06
1838;Acsa;Alta;Pequeño;6;42;0;NA;10.53;10.61;0.45;14.46;13.71
1850;Acru;Alta;Pequeño;9;63;0;NA;9.72;13.95;0.31;12.38;7.28
1862;Acru;Alta;Pequeño;NA;63;1;NA;NA;1.42;0.12;9.83;7.75
1879;Acru;Alta;Pequeño;NA;63;1;NA;NA;4;0.25;12.12;8.04
1894;Acsa;Alta;Pequeño;NA;63;1;NA;NA;13.95;0.31;12.38;7.28
1897;Acru;Alta;Pequeño;NA;41;1;NA;NA;0;0.12;8.55;6.71
1901;Acru;Alta;Pequeño;3;21;0;NA;6.35;0;0.37;12.43;14.74
1904;Acsa;Alta;Pequeño;NA;37;1;NA;NA;5.09;0.31;12.01;6.87
1906;Acsa;Alta;Pequeño;9;63;0;NA;11.96;1.89;0.22;10.83;12.89
1925;Acsa;Alta;Pequeño;3;21;0;NA;5.59;0;-0.01;8.57;19.17
1930;Acru;Alta;Pequeño;3;21;0;NA;3.56;0.06;0.26;10.36;11.71
1931;Acru;Alta;Pequeño;6;42;0;NA;11.09;18.41;0.34;12.96;7.06
1934;Acsa;Alta;Pequeño;6;42;0;NA;11.22;0.51;0.16;10.02;7.85
1941;Acne;Alta;Pequeño;NA;63;1;NA;NA;18.41;0.34;12.96;7.06
1942;Acsa;Alta;Pequeño;9;63;0;NA;8.8;15.74;0.39;14.65;8.83
1943;Acru;Alta;Pequeño;3;21;0;NA;9.42;0;0.3;11.17;6.49
1945;Acru;Alta;Pequeño;6;42;0;NA;9.97;1.42;0.12;9.83;7.75
1948;Acru;Alta;Pequeño;9;63;0;NA;11.53;2.8;0.28;11.9;8.8
1949;Acsa;Alta;Pequeño;NA;31;1;NA;NA;0.06;0.26;10.36;11.71
1953;Acsa;Alta;Pequeño;NA;63;1;NA;NA;0.64;0.16;10.12;7.95
1959;Acne;Alta;Pequeño;3;21;0;NA;4.38;2;0.14;10.27;5.61
1964;Acsa;Alta;Pequeño;NA;22;1;NA;NA;13.68;0.37;13.59;8.6
1965;Acne;Alta;Pequeño;6;42;0;NA;2.3;0.14;-0.03;5.88;8.05
1968;Acsa;Alta;Pequeño;3;21;0;NA;9.69;2.47;0.23;10.97;12.89
1972;Acru;Alta;Pequeño;6;42;0;NA;6.37;2.77;0.22;11.21;7.15
1973;Acsa;Alta;Pequeño;6;42;0;NA;9.79;1.06;0.12;9.56;11.51
1981;Acsa;Alta;Pequeño;3;21;0;NA;8.92;0.06;0.26;10.36;11.71
1984;Acru;Alta;Pequeño;NA;35;1;NA;NA;3;0.08;9.48;5.97
2024;Acne;Alta;Pequeño;NA;63;1;NA;NA;0;0.23;9.57;6.35
2045;Acsa;Alta;Pequeño;6;42;0;NA;7.5;1.8;0.22;11.09;7.36
2063;Acru;Alta;Pequeño;NA;63;1;NA;NA;1.42;0.12;9.83;7.75
2067;Acne;Alta;Pequeño;NA;24;1;NA;NA;0.06;0.26;10.36;11.71
2069;Acne;Alta;Pequeño;3;21;0;NA;6.87;1.37;0.14;10.03;5.91
2081;Acru;Alta;Pequeño;NA;63;1;NA;NA;2.51;0.23;11.17;13.29
2083;Acsa;Alta;Pequeño;NA;63;1;NA;NA;0;0.25;10.99;7.79
2084;Acne;Alta;Pequeño;6;42;0;NA;3.43;0;0.29;11.9;14.55
2086;Acne;Alta;Pequeño;9;63;0;NA;6.57;18.41;0.34;12.96;7.06
2088;Acsa;Alta;Pequeño;9;63;0;NA;12.34;0;0.2;10.19;6.51
2089;Acsa;Alta;Pequeño;NA;63;1;NA;NA;0.06;0.26;10.36;11.71
2097;Acru;Alta;Pequeño;6;42;0;NA;9.62;2;0.57;14.95;13.81
2098;Acne;Alta;Pequeño;NA;63;1;NA;NA;1.4;0.12;9.96;5.95
2108;Acne;Alta;Pequeño;9;63;0;NA;7.89;0;0.21;10.15;6.32
2110;Acne;Alta;Pequeño;NA;63;1;NA;NA;0;0.21;9.14;8.51
2132;Acsa;Alta;Pequeño;NA;49;1;NA;NA;0;0.36;10.28;7.05
2146;Acsa;Alta;Pequeño;9;63;0;NA;14.68;0.22;0.09;9;7.63
2161;Acru;Alta;Pequeño;9;63;0;NA;9.97;5.75;0.33;12.5;13.59
2168;Acru;Alta;Pequeño;NA;63;1;NA;NA;0;0.4;11.19;6.67
2178;Acsa;Alta;Pequeño;NA;34;1;NA;NA;0.77;0.02;7.72;10.57
2200;Acne;Alta;Pequeño;NA;36;1;NA;NA;0;0.3;10.16;10.16
2201;Acne;Alta;Pequeño;NA;63;1;NA;NA;0;0.2;10.83;13.29
2208;Acsa;Alta;Pequeño;6;42;0;NA;9.41;0;0.24;10.35;5.17
2219;Acru;Alta;Pequeño;3;21;0;NA;8.96;1.42;0.12;9.83;7.75
2224;Acsa;Alta;Pequeño;3;21;0;NA;10.58;0.29;0.08;8.6;8.02
2227;Acsa;Alta;Pequeño;3;21;0;NA;11.65;0;0.36;12.38;15.05
2237;Acne;Alta;Pequeño;3;21;0;NA;3.02;18.41;0.34;12.96;7.06
2239;Acsa;Alta;Pequeño;6;42;0;NA;8.82;0.06;0.26;10.36;11.71
2241;Acne;Alta;Pequeño;3;21;0;NA;4.81;0;0.21;10.32;7.02
2278;Acne;Alta;Pequeño;6;42;0;NA;5.92;0;0.18;11.33;15.74
2301;Acne;Alta;Pequeño;6;42;0;NA;2.24;0;0.24;10.3;11.02
2303;Acne;Alta;Pequeño;9;63;0;NA;7.09;18.41;0.34;12.96;7.06
2308;Acsa;Alta;Pequeño;9;63;0;NA;9.96;0;0.06;9.17;12.57
2309;Acru;Alta;Pequeño;9;63;0;NA;9.76;0;0.01;6.98;5.09
2311;Acru;Alta;Pequeño;NA;38;1;NA;NA;0.68;0.18;10.3;8.24
2321;Acne;Alta;Pequeño;NA;63;1;NA;NA;1.42;0.12;9.83;7.75
2339;Acsa;Alta;Pequeño;NA;63;1;NA;NA;0.06;0.26;10.36;11.71
2350;Acne;Alta;Pequeño;NA;33;1;NA;NA;1.37;0.3;11.99;12.87
2357;Acne;Alta;Pequeño;9;63;0;NA;5.22;0.06;0.26;10.36;11.71
2360;Acsa;Alta;Pequeño;NA;63;1;NA;NA;0;0;7.69;6.31
2361;Acsa;Alta;Pequeño;9;63;0;NA;10.82;0;0.07;7.97;7.69
2364;Acru;Alta;Pequeño;9;63;0;NA;9.61;1.42;0.12;9.83;7.75
2365;Acsa;Alta;Pequeño;NA;34;1;NA;NA;0;0.13;8.56;7.61
2368;Acne;Alta;Pequeño;NA;63;1;NA;NA;1.42;0.12;9.83;7.75
2381;Acru;Alta;Pequeño;NA;29;1;NA;NA;1.42;0.12;9.83;7.75
2386;Acru;Alta;Pequeño;NA;63;1;NA;NA;24.94;0.45;16.33;7.84
2390;Acsa;Alta;Pequeño;NA;63;1;NA;NA;24.67;0.45;16.01;7.8
2395;Acne;Alta;Pequeño;3;21;0;NA;3.82;0.06;0.26;10.36;11.71
